Year: Year Level: Industry_aggregation_NZSIOC
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 1
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 3
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
Year: 2019 Level: Level 4
